"","X..contig","classification","reason","lineage","lineage.scores","superkingdom","phylum","class","order","family","genus","species"
"60254","MG1058_m54329U_210919_100542_69403246_ccs","taxid assigned","based on 16/17 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;0.97;0.81;0.81;0.81","Bacteria: 0.97","Candidatus Marinimicrobia: 0.81",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.81"
"60283","MG1058_m54329U_210919_100542_69469294_ccs","taxid assigned","based on 9/9 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;1.00;1.00","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 1.00"
"60284","MG1058_m54329U_210919_100542_69469317_ccs","taxid assigned","based on 14/14 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;1.00;1.00","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 1.00"
"60289","MG1058_m54329U_210919_100542_69469498_ccs","taxid assigned","based on 9/14 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;1.00;1.00;1.00;0.81","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.81"
"60319","MG1058_m54329U_210919_100542_6948256_ccs","taxid assigned","based on 6/9 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;1.00;1.00;0.96;0.56","Bacteria: 1.00","Candidatus Marinimicrobia: 0.96",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.56"
"60323","MG1058_m54329U_210919_100542_6948650_ccs","taxid assigned","based on 10/10 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;1.00;1.00;1.00;0.97","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.97"
"60328","MG1058_m54329U_210919_100542_6948931_ccs","taxid assigned","based on 6/23 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;0.77;0.77;0.77","Bacteria: 1.00","Candidatus Marinimicrobia: 0.77",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.77"
"60341","MG1058_m54329U_210919_100542_69534239_ccs","taxid assigned","based on 18/24 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;0.88;0.88;0.88","Bacteria: 1.00","Candidatus Marinimicrobia: 0.88",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.88"
"60356","MG1058_m54329U_210919_100542_69535988_ccs","taxid assigned","based on 9/9 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;1.00;1.00","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 1.00"
"60377","MG1058_m54329U_210919_100542_69601379_ccs","taxid assigned","based on 3/3 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;0.85;0.85;0.85","Bacteria: 1.00","Candidatus Marinimicrobia: 0.85",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.85"
"60386","MG1058_m54329U_210919_100542_69664987_ccs","taxid assigned","based on 15/17 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;0.71;0.65;0.65;0.65","Bacteria: 0.71","Candidatus Marinimicrobia: 0.65",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.65"
"60388","MG1058_m54329U_210919_100542_69665141_ccs","taxid assigned","based on 12/18 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;1.00;1.00;1.00;0.96","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.96"
"60396","MG1058_m54329U_210919_100542_69665960_ccs","taxid assigned","based on 5/10 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;0.94;0.94;0.70;0.52","Bacteria: 0.94","Candidatus Marinimicrobia: 0.70",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.52"
"60399","MG1058_m54329U_210919_100542_69666105_ccs","taxid assigned","based on 25/28 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;0.57;0.50;0.50","Bacteria: 1.00","Candidatus Marinimicrobia: 0.50",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.50"
"60416","MG1058_m54329U_210919_100542_69730683_ccs","taxid assigned","based on 15/18 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;1.00;0.95;0.67;0.53","Bacteria: 1.00","Candidatus Marinimicrobia: 0.67",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.53"
"60445","MG1058_m54329U_210919_100542_69796405_ccs","taxid assigned","based on 8/10 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;0.75;0.75;0.75;0.75","Bacteria: 0.75","Candidatus Marinimicrobia: 0.75",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.75"
"60446","MG1058_m54329U_210919_100542_69796468_ccs","taxid assigned","based on 7/9 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;0.93;0.93;0.93","Bacteria: 1.00","Candidatus Marinimicrobia: 0.93",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.93"
"60477","MG1058_m54329U_210919_100542_69862492_ccs","taxid assigned","based on 16/27 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;1.00;0.89;0.78;0.63","Bacteria: 1.00","Candidatus Marinimicrobia: 0.78",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.63"
"60503","MG1058_m54329U_210919_100542_69927359_ccs","taxid assigned","based on 14/15 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;0.87;0.78;0.78;0.78","Bacteria: 0.87","Candidatus Marinimicrobia: 0.78",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.78"
"60509","MG1058_m54329U_210919_100542_69927957_ccs","taxid assigned","based on 19/22 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;0.95;0.83;0.78;0.78","Bacteria: 0.95","Candidatus Marinimicrobia: 0.78",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.78"
"60553","MG1058_m54329U_210919_100542_69994962_ccs","taxid assigned","based on 6/7 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;1.00;1.00","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 1.00"
"60558","MG1058_m54329U_210919_100542_70058121_ccs","taxid assigned","based on 10/10 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;0.91;0.91;0.91;0.91","Bacteria: 0.91","Candidatus Marinimicrobia: 0.91",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.91"
"60560","MG1058_m54329U_210919_100542_70058281_ccs","taxid assigned","based on 6/7 ORFs","1;131567;2;1783270;62680;2026760","1.00;0.83;0.83;0.70;0.64;0.64","Bacteria: 0.83","Candidatus Marinimicrobia: 0.64",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.64"
"60574","MG1058_m54329U_210919_100542_70059454_ccs","taxid assigned","based on 14/14 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;1.00;1.00","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 1.00"
"60594","MG1058_m54329U_210919_100542_70124706_ccs","taxid assigned","based on 8/8 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;0.63;0.63;0.50","Bacteria: 1.00","Candidatus Marinimicrobia: 0.63",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.50"
"60607","MG1058_m54329U_210919_100542_70125772_ccs","taxid assigned","based on 19/20 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;1.00;0.90;0.90;0.61","Bacteria: 1.00","Candidatus Marinimicrobia: 0.90",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.61"
"60612","MG1058_m54329U_210919_100542_7012953_ccs","taxid assigned","based on 8/8 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;1.00;1.00","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 1.00"
"60614","MG1058_m54329U_210919_100542_7013255_ccs","taxid assigned","based on 10/16 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;0.81;0.81;0.81;0.81","Bacteria: 0.81","Candidatus Marinimicrobia: 0.81",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.81"
"60615","MG1058_m54329U_210919_100542_7013333_ccs","taxid assigned","based on 9/9 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;1.00;0.84","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.84"
"60619","MG1058_m54329U_210919_100542_7013717_ccs","taxid assigned","based on 14/16 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;1.00;0.97;0.74;0.53","Bacteria: 1.00","Candidatus Marinimicrobia: 0.74",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.53"
"60634","MG1058_m54329U_210919_100542_7014757_ccs","taxid assigned","based on 6/6 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;0.76;0.76;0.76;0.76","Bacteria: 0.76","Candidatus Marinimicrobia: 0.76",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.76"
"60648","MG1058_m54329U_210919_100542_70189500_ccs","taxid assigned","based on 14/15 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;1.00;1.00","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 1.00"
"60687","MG1058_m54329U_210919_100542_70255761_ccs","taxid assigned","based on 10/10 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;0.88;0.88;0.88","Bacteria: 1.00","Candidatus Marinimicrobia: 0.88",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.88"
"60699","MG1058_m54329U_210919_100542_70256861_ccs","taxid assigned","based on 12/13 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;1.00;1.00","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 1.00"
"60706","MG1058_m54329U_210919_100542_70257292_ccs","taxid assigned","based on 17/19 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;0.81;0.81;0.81","Bacteria: 1.00","Candidatus Marinimicrobia: 0.81",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.81"
"60717","MG1058_m54329U_210919_100542_70320808_ccs","taxid assigned","based on 18/23 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;0.94;0.57;0.57;0.57","Bacteria: 0.94","Candidatus Marinimicrobia: 0.57",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.57"
"60728","MG1058_m54329U_210919_100542_70322136_ccs","taxid assigned","based on 8/8 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;0.98;0.98;0.98;0.98","Bacteria: 0.98","Candidatus Marinimicrobia: 0.98",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.98"
"60739","MG1058_m54329U_210919_100542_70322976_ccs","taxid assigned","based on 15/16 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;0.98;0.98;0.98","Bacteria: 1.00","Candidatus Marinimicrobia: 0.98",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.98"
"60763","MG1058_m54329U_210919_100542_70453332_ccs","taxid assigned","based on 12/13 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;1.00;0.77;0.77;0.68","Bacteria: 1.00","Candidatus Marinimicrobia: 0.77",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.68"
"60772","MG1058_m54329U_210919_100542_70516748_ccs","taxid assigned","based on 8/9 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;1.00;0.98;0.98;0.95","Bacteria: 1.00","Candidatus Marinimicrobia: 0.98",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.95"
"60791","MG1058_m54329U_210919_100542_70518493_ccs","taxid assigned","based on 14/14 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;1.00;1.00","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 1.00"
"60797","MG1058_m54329U_210919_100542_70519245_ccs","taxid assigned","based on 12/12 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;0.79;0.79;0.62","Bacteria: 1.00","Candidatus Marinimicrobia: 0.79",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.62"
"60814","MG1058_m54329U_210919_100542_70582926_ccs","taxid assigned","based on 4/4 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;0.51;0.51;0.51;0.51","Bacteria: 0.51","Candidatus Marinimicrobia: 0.51",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.51"
"60838","MG1058_m54329U_210919_100542_70649746_ccs","taxid assigned","based on 6/6 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;0.95;0.77;0.77;0.51","Bacteria: 0.95","Candidatus Marinimicrobia: 0.77",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.51"
"60848","MG1058_m54329U_210919_100542_70650525_ccs","taxid assigned","based on 11/11 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;1.00;0.98;0.94;0.80","Bacteria: 1.00","Candidatus Marinimicrobia: 0.94",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.80"
"60849","MG1058_m54329U_210919_100542_70650667_ccs","taxid assigned","based on 14/14 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;0.89;0.58;0.57;0.57","Bacteria: 0.89","Candidatus Marinimicrobia: 0.57",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.57"
"60856","MG1058_m54329U_210919_100542_70714195_ccs","taxid assigned","based on 8/8 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;1.00;1.00;1.00;0.51","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.51"
"60867","MG1058_m54329U_210919_100542_7077914_ccs","taxid assigned","based on 13/19 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;0.93;0.62;0.57;0.57","Bacteria: 0.93","Candidatus Marinimicrobia: 0.57",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.57"
"60878","MG1058_m54329U_210919_100542_70780602_ccs","taxid assigned","based on 10/11 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;0.56;0.56;0.56","Bacteria: 1.00","Candidatus Marinimicrobia: 0.56",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.56"
"60886","MG1058_m54329U_210919_100542_70781130_ccs","taxid assigned","based on 8/8 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;0.87;0.87;0.87","Bacteria: 1.00","Candidatus Marinimicrobia: 0.87",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.87"
"60909","MG1058_m54329U_210919_100542_7079712_ccs","taxid assigned","based on 5/5 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;1.00;1.00","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 1.00"
"60912","MG1058_m54329U_210919_100542_7079738_ccs","taxid assigned","based on 10/12 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;0.75;0.62;0.62;0.62","Bacteria: 0.75","Candidatus Marinimicrobia: 0.62",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.62"
"60939","MG1058_m54329U_210919_100542_70845721_ccs","taxid assigned","based on 7/8 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;1.00;1.00","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 1.00"
"60957","MG1058_m54329U_210919_100542_70847199_ccs","taxid assigned","based on 5/5 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;1.00;0.74","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.74"
"60963","MG1058_m54329U_210919_100542_70910179_ccs","taxid assigned","based on 12/13 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;1.00;0.86","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.86"
"60967","MG1058_m54329U_210919_100542_70910846_ccs","taxid assigned","based on 6/7 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;0.73;0.73","Bacteria: 1.00","Candidatus Marinimicrobia: 0.73",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.73"
"60989","MG1058_m54329U_210919_100542_70912733_ccs","taxid assigned","based on 12/12 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;0.89;0.89;0.89;0.89","Bacteria: 0.89","Candidatus Marinimicrobia: 0.89",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.89"
"60991","MG1058_m54329U_210919_100542_70912858_ccs","taxid assigned","based on 18/21 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;1.00;0.86;0.86;0.57","Bacteria: 1.00","Candidatus Marinimicrobia: 0.86",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.57"
"61011","MG1058_m54329U_210919_100542_70978235_ccs","taxid assigned","based on 10/10 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;0.96;0.96;0.96","Bacteria: 1.00","Candidatus Marinimicrobia: 0.96",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.96"
"61034","MG1058_m54329U_210919_100542_71106764_ccs","taxid assigned","based on 12/12 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;1.00;1.00;1.00;0.85","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.85"
"61035","MG1058_m54329U_210919_100542_71107073_ccs","taxid assigned","based on 10/11 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;0.87;0.70;0.70;0.70","Bacteria: 0.87","Candidatus Marinimicrobia: 0.70",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.70"
"61036","MG1058_m54329U_210919_100542_71107090_ccs","taxid assigned","based on 14/15 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;0.98;0.56;0.56;0.56","Bacteria: 0.98","Candidatus Marinimicrobia: 0.56",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.56"
"61043","MG1058_m54329U_210919_100542_71107566_ccs","taxid assigned","based on 9/9 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;1.00;1.00;1.00;0.70","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.70"
"61044","MG1058_m54329U_210919_100542_71107662_ccs","taxid assigned","based on 14/18 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;0.98;0.91;0.91;0.75","Bacteria: 0.98","Candidatus Marinimicrobia: 0.91",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.75"
"61070","MG1058_m54329U_210919_100542_71174160_ccs","taxid assigned","based on 12/12 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;1.00;1.00","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 1.00"
"61081","MG1058_m54329U_210919_100542_71174932_ccs","taxid assigned","based on 2/2 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;1.00;1.00","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 1.00"
"61091","MG1058_m54329U_210919_100542_71238710_ccs","taxid assigned","based on 14/15 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;0.94;0.92;0.74","Bacteria: 1.00","Candidatus Marinimicrobia: 0.92",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.74"
"61094","MG1058_m54329U_210919_100542_71239093_ccs","taxid assigned","based on 10/10 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;0.95;0.95","Bacteria: 1.00","Candidatus Marinimicrobia: 0.95",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.95"
"61101","MG1058_m54329U_210919_100542_71240009_ccs","taxid assigned","based on 18/18 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;0.92;0.92;0.92","Bacteria: 1.00","Candidatus Marinimicrobia: 0.92",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.92"
"61103","MG1058_m54329U_210919_100542_71240146_ccs","taxid assigned","based on 7/7 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;0.96;0.96;0.96","Bacteria: 1.00","Candidatus Marinimicrobia: 0.96",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.96"
"61114","MG1058_m54329U_210919_100542_71303922_ccs","taxid assigned","based on 13/20 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;1.00;1.00;0.95;0.77","Bacteria: 1.00","Candidatus Marinimicrobia: 0.95",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.77"
"61126","MG1058_m54329U_210919_100542_71304817_ccs","taxid assigned","based on 12/14 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;1.00;1.00","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 1.00"
"61129","MG1058_m54329U_210919_100542_71305108_ccs","taxid assigned","based on 8/10 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;0.97;0.94;0.94;0.94","Bacteria: 0.97","Candidatus Marinimicrobia: 0.94",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.94"
"61160","MG1058_m54329U_210919_100542_71370638_ccs","taxid assigned","based on 23/24 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;0.77;0.74;0.62","Bacteria: 1.00","Candidatus Marinimicrobia: 0.74",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.62"
"61167","MG1058_m54329U_210919_100542_71371319_ccs","taxid assigned","based on 12/12 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;0.85;0.79;0.79;0.79","Bacteria: 0.85","Candidatus Marinimicrobia: 0.79",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.79"
"61178","MG1058_m54329U_210919_100542_71434700_ccs","taxid assigned","based on 12/20 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;0.91;0.54;0.54;0.51","Bacteria: 0.91","Candidatus Marinimicrobia: 0.54",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.51"
"61205","MG1058_m54329U_210919_100542_7144753_ccs","taxid assigned","based on 9/24 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;1.00;1.00;0.91;0.64","Bacteria: 1.00","Candidatus Marinimicrobia: 0.91",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.64"
"61207","MG1058_m54329U_210919_100542_7144942_ccs","taxid assigned","based on 18/19 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;0.98;0.97;0.97","Bacteria: 1.00","Candidatus Marinimicrobia: 0.97",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.97"
"61208","MG1058_m54329U_210919_100542_7144991_ccs","taxid assigned","based on 15/15 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;0.95;0.95;0.95","Bacteria: 1.00","Candidatus Marinimicrobia: 0.95",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.95"
"61227","MG1058_m54329U_210919_100542_71499806_ccs","taxid assigned","based on 16/21 ORFs","1;131567;2;1783270;62680;2026760","1.00;0.97;0.93;0.59;0.59;0.59","Bacteria: 0.93","Candidatus Marinimicrobia: 0.59",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.59"
"61240","MG1058_m54329U_210919_100542_71500810_ccs","taxid assigned","based on 9/11 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;1.00;0.97;0.97;0.74","Bacteria: 1.00","Candidatus Marinimicrobia: 0.97",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.74"
"61241","MG1058_m54329U_210919_100542_71501409_ccs","taxid assigned","based on 14/14 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;1.00;1.00;0.85;0.51","Bacteria: 1.00","Candidatus Marinimicrobia: 0.85",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.51"
"61243","MG1058_m54329U_210919_100542_71501969_ccs","taxid assigned","based on 17/17 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;1.00;1.00;1.00;1.00","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 1.00"
"61246","MG1058_m54329U_210919_100542_71502284_ccs","taxid assigned","based on 21/25 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;0.95;0.95;0.95;0.76","Bacteria: 0.95","Candidatus Marinimicrobia: 0.95",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.76"
"61257","MG1058_m54329U_210919_100542_71565897_ccs","taxid assigned","based on 9/9 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;1.00;1.00;1.00;0.98","Bacteria: 1.00","Candidatus Marinimicrobia: 1.00",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.98"
"61266","MG1058_m54329U_210919_100542_71566888_ccs","taxid assigned","based on 10/11 ORFs","1;131567;2;1783270;62680;2026760","1.00;1.00;0.96;0.89;0.89;0.89","Bacteria: 0.96","Candidatus Marinimicrobia: 0.89",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium: 0.89"
"61277","MG1058_m54329U_210919_100542_71568113_ccs","taxid assigned","based on 13/13 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;0.96;0.89;0.78;0.59","Bacteria: 0.96","Candidatus Marinimicrobia: 0.78",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.59"
"61279","MG1058_m54329U_210919_100542_71568215_ccs","taxid assigned","based on 42/46 ORFs","1;131567;2;1783270;62680;2483458","1.00;1.00;0.98;0.86;0.83;0.62","Bacteria: 0.98","Candidatus Marinimicrobia: 0.83",NA,NA,NA,NA,"Candidatus Marinimicrobia bacterium PRS2: 0.62"
