"","gene_callers_id","COG20_FUNCTION","COG20_CATEGORY","COG20_PATHWAY","plasmid"
"1241",11,"Chromosome segregation protein Spo0J, contains ParB-like nuclease domain (Spo0J) (PDB:1R71)","Cell cycle control, cell division, chromosome partitioning",NA,"plasmid2_sulf3"
"1242",12,"TRAP-type mannitol/chloroaromatic compound transport system, periplasmic component (FcbT1) (PDB:2HZK)","Secondary metabolites biosynthesis, transport and catabolism",NA,"plasmid2_sulf3"
"1243",13,"TRAP-type mannitol/chloroaromatic compound transport system, large permease component (FcbT3)","Secondary metabolites biosynthesis, transport and catabolism",NA,"plasmid2_sulf3"
"1244",14,"TRAP-type mannitol/chloroaromatic compound transport system, small permease component (FcbT2)","Secondary metabolites biosynthesis, transport and catabolism",NA,"plasmid2_sulf3"
"1245",16,"Cytochrome c553 (CytC553) (PDB:6Q2U)","Energy production and conversion",NA,"plasmid2_sulf3"
"1246",17,"Cytochrome c oxidase assembly protein CtaG (CtaG) (PUBMED:14766920)","Energy production and conversion!!!Posttranslational modification, protein turnover, chaperones",NA,"plasmid2_sulf3"
"1247",19,"Heme/copper-type cytochrome/quinol oxidase, subunit 1 (CyoB) (PDB:1AR1)!!!Heme/copper-type cytochrome/quinol oxidase, subunit 3 (CyoC) (PDB:1QLE)","Energy production and conversion!!!Energy production and conversion",NA,"plasmid2_sulf3"
"1248",20,"Heme/copper-type cytochrome/quinol oxidase, subunit 2 (CyoA) (PDB:1CYW)!!!Cytochrome c1 (CYT1)","Energy production and conversion!!!Energy production and conversion",NA,"plasmid2_sulf3"
"1249",21,"Serine transporter YbeC, amino acid:H+ symporter family (PotE) (PDB:3LRB)","Amino acid transport and metabolism",NA,"plasmid2_sulf3"
"1250",22,"Membrane integrity protein DedA, putative transporter, DedA/Tvp38 family (DedA) (PUBMED:24312110;25917916)","Cell wall/membrane/envelope biogenesis",NA,"plasmid2_sulf3"
"1251",23,"Cytochrome c553 (CytC553) (PDB:6Q2U)","Energy production and conversion",NA,"plasmid2_sulf3"
"1252",24,"Choline dehydrogenase or related flavoprotein (BetA) (PDB:1B4V)","Lipid transport and metabolism!!!General function prediction only","Non-phosphorylated Entner-Doudoroff pathway","plasmid2_sulf3"
"1253",25,"Choline dehydrogenase or related flavoprotein (BetA) (PDB:1B4V)","Lipid transport and metabolism!!!General function prediction only","Non-phosphorylated Entner-Doudoroff pathway","plasmid2_sulf3"
"1254",26,"Lipoprotein-anchoring transpeptidase ErfK/SrfK (ErfK) (PDB:4LZH)","Cell wall/membrane/envelope biogenesis",NA,"plasmid2_sulf3"
"1255",28,"Magnesium uptake protein YhiD/SapB, involved in acid resistance (SapB) (PUBMED:19798051)","Inorganic ion transport and metabolism",NA,"plasmid2_sulf3"
"1256",29,"Sporulation protein YlmC, YlmC/YmxH family, contains PRC-barrel domain (YlmC) (PDB:1PM3)","General function prediction only",NA,"plasmid2_sulf3"
"1257",30,"Cu/Zn superoxide dismutase (SodC) (PDB:1ESO)","Inorganic ion transport and metabolism",NA,"plasmid2_sulf3"
"1258",31,"Predicted Fe-S protein YdhL, DUF1289 family (YdhL)","General function prediction only",NA,"plasmid2_sulf3"
"1259",32,"DNA-binding ferritin-like protein (oxidative damage protectant) (Dps) (PDB:1DPS)","Inorganic ion transport and metabolism!!!Defense mechanisms",NA,"plasmid2_sulf3"
"1260",34,"Outer membrane receptor protein, Fe transport (CirA) (PDB:1BY3)","Inorganic ion transport and metabolism",NA,"plasmid2_sulf3"
"1261",35,"Predicted arabinose efflux permease AraJ, MFS family (AraJ) (PDB:4LDS)","Carbohydrate transport and metabolism",NA,"plasmid2_sulf3"
"1262",36,"NADPH-dependent ferric siderophore reductase, contains FAD-binding and SIP domains (ViuB) (PDB:2GPJ)","Inorganic ion transport and metabolism",NA,"plasmid2_sulf3"
"1263",37,"Ca2+-binding protein, RTX toxin-related (PDB:1AF0) (PUBMED:15135544)","Secondary metabolites biosynthesis, transport and catabolism",NA,"plasmid2_sulf3"
"1264",38,"DNA-binding transcriptional regulator, CsgD family (CsgD)","Transcription",NA,"plasmid2_sulf3"
"1265",39,"Arylsulfatase A or related enzyme, AlkP superfamily (AslA) (PDB:1E1Z)","Inorganic ion transport and metabolism",NA,"plasmid2_sulf3"
"1266",40,"Enoyl-CoA hydratase/carnithine racemase (CaiD) (PDB:1DCI)","Lipid transport and metabolism","Fatty acid biosynthesis","plasmid2_sulf3"
"1267",42,"Divalent metal cation (Fe/Co/Zn/Cd) efflux pump (FieF) (PDB:2QFI)","Inorganic ion transport and metabolism",NA,"plasmid2_sulf3"
"1268",43,"Multidrug efflux pump subunit AcrA (membrane-fusion protein) (AcrA) (PDB:1T5E)","Cell wall/membrane/envelope biogenesis!!!Defense mechanisms",NA,"plasmid2_sulf3"
"1269",44,"Multidrug efflux pump subunit AcrB (AcrB) (PDB:1IWG)","Defense mechanisms",NA,"plasmid2_sulf3"
"1270",45,"Nitroreductase (NfnB) (PDB:1F5V)","Energy production and conversion","Pyrimidine degradation","plasmid2_sulf3"
"1271",46,"O-succinylbenzoic acid-CoA ligase MenE or related acyl-CoA synthetase (AMP-forming) (MenE/FadK) (PDB:5EY9) (PUBMED:25151136;27455459)","Lipid transport and metabolism","Menaquinone biosynthesis","plasmid2_sulf3"
"1272",47,"Predicted Na+-dependent transporter YfeH (YfeH) (PDB:4N7X) (PUBMED:21175741)","General function prediction only",NA,"plasmid2_sulf3"
"1273",48,"Predicted oxidoreductase","General function prediction only",NA,"plasmid2_sulf3"
"1274",49,"DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA (AcrR) (PDB:2QOP)","Transcription",NA,"plasmid2_sulf3"
"1275",50,"Uncharacterized membrane protein YadS, UPF0324 family (YeiH)","Function unknown",NA,"plasmid2_sulf3"
"1276",51,"DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)","Transcription",NA,"plasmid2_sulf3"
"1277",52,"Signal transduction histidine kinase (BaeS) (PDB:1JOY)!!!DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain (OmpR) (PDB:1XHF)!!!GAF domain (GAF)","Signal transduction mechanisms!!!Signal transduction mechanisms!!!Transcription!!!Signal transduction mechanisms",NA,"plasmid2_sulf3"
"1278",56,"TRAP-type C4-dicarboxylate transport system, large permease component (DctQ)","Carbohydrate transport and metabolism",NA,"plasmid2_sulf3"
"1279",57,"TRAP-type C4-dicarboxylate transport system, small permease component YiaM (DctM)","Carbohydrate transport and metabolism",NA,"plasmid2_sulf3"
"1280",58,"TRAP-type C4-dicarboxylate transport system, periplasmic component (DctP) (PDB:2CEX)","Carbohydrate transport and metabolism",NA,"plasmid2_sulf3"
"1281",59,"DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA (AcrR) (PDB:2QOP)","Transcription",NA,"plasmid2_sulf3"
"1282",60,"Multidrug efflux pump subunit AcrB (AcrB) (PDB:1IWG)","Defense mechanisms",NA,"plasmid2_sulf3"
"1283",61,"Multidrug efflux pump subunit AcrA (membrane-fusion protein) (AcrA) (PDB:1T5E)","Cell wall/membrane/envelope biogenesis!!!Defense mechanisms",NA,"plasmid2_sulf3"
"1284",62,"DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA (AcrR) (PDB:2QOP)","Transcription",NA,"plasmid2_sulf3"
"1285",63,"N-acyl-homoserine lactone synthase LasI (autoinducer biosynthesis) (LasI) (PDB:1K4J)","Signal transduction mechanisms",NA,"plasmid2_sulf3"
"1286",64,"K+-sensing histidine kinase KdpD (KdpD) (PDB:2KSF)","Signal transduction mechanisms",NA,"plasmid2_sulf3"
"1287",65,"Cytochrome P450 (CypX) (PDB:3A4Z)","Secondary metabolites biosynthesis, transport and catabolism!!!Defense mechanisms","Biotin biosynthesis","plasmid2_sulf3"
"1288",66,"Prophage maintenance system killer protein (Doc)","Mobilome: prophages, transposons",NA,"plasmid2_sulf3"
"1289",68,"TPR repeat (TPR) (PDB:1KLX)","General function prediction only",NA,"plasmid2_sulf3"
"1290",69,"Predicted Na+-dependent transporter YfeH (YfeH) (PDB:4N7X) (PUBMED:21175741)","General function prediction only",NA,"plasmid2_sulf3"
"1291",70,"Gamma-glutamyltranspeptidase (Ggt) (PDB:2Z8I) (PUBMED:16618936)","Amino acid transport and metabolism",NA,"plasmid2_sulf3"
"1292",71,"TctA family transporter (PUBMED:14499931)","General function prediction only",NA,"plasmid2_sulf3"
"1293",73,"Tripartite-type tricarboxylate transporter, extracytoplasmic receptor component TctC (TctC) (PDB:2DVZ)","Energy production and conversion",NA,"plasmid2_sulf3"
"1294",74,"DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)","Transcription",NA,"plasmid2_sulf3"
"1295",75,"Na+-driven multidrug efflux pump, DinF/NorM/MATE family (NorM) (PDB:3VVN) (PUBMED:29915058)","Defense mechanisms",NA,"plasmid2_sulf3"
"1296",76,"DNA-binding transcriptional regulator, HxlR family (HxlR) (PDB:1YYV)","Transcription",NA,"plasmid2_sulf3"
"1297",79,"Outer membrane protein TolC (TolC) (PDB:1EK9)","Cell wall/membrane/envelope biogenesis",NA,"plasmid2_sulf3"
"1298",80,"Multicopper oxidase with three cupredoxin domains (includes cell division protein FtsP and spore coat protein CotA) (SufI) (PDB:2YXV)","Cell cycle control, cell division, chromosome partitioning!!!Inorganic ion transport and metabolism!!!Cell wall/membrane/envelope biogenesis",NA,"plasmid2_sulf3"
"1299",81,"Uncharacterized copper-binding protein, cupredoxin-like subfamily!!!Periplasmic Cu and Ag efflux protein CusF (CusF)","General function prediction only!!!Inorganic ion transport and metabolism",NA,"plasmid2_sulf3"
"1300",82,"Cytochrome c553 (CytC553) (PDB:6Q2U)","Energy production and conversion",NA,"plasmid2_sulf3"
"1301",83,"Outer membrane receptor protein, Fe transport (CirA) (PDB:1BY3)","Inorganic ion transport and metabolism",NA,"plasmid2_sulf3"
"1302",84,"Putative heme degradation protein (HemS) (PDB:1U9T)","Inorganic ion transport and metabolism",NA,"plasmid2_sulf3"
"1303",85,"ABC-type hemin transport system, periplasmic component (ChuT) (PDB:3MD9)","Inorganic ion transport and metabolism",NA,"plasmid2_sulf3"
"1304",86,"ABC-type Fe3+-siderophore transport system, permease component (FepD) (PDB:2NQ2)","Inorganic ion transport and metabolism",NA,"plasmid2_sulf3"
"1305",87,"ABC-type hemin transport system, ATPase component (PDB:4G1U)","Inorganic ion transport and metabolism",NA,"plasmid2_sulf3"
"1306",88,"Two-component sensor histidine kinase, HisKA and HATPase domains (PDB:4R39)","Signal transduction mechanisms",NA,"plasmid2_sulf3"
"1307",89,"Response regulator c-di-GMP phosphodiesterase, RpfG family, contains REC and HD-GYP domains (RpfG)","Signal transduction mechanisms",NA,"plasmid2_sulf3"
"1308",90,"Predicted DNA modification or repair protein, contains radical SAM and helix-hairpin-helix domains","General function prediction only",NA,"plasmid2_sulf3"
"1309",91,"Uracil-DNA glycosylase (Udg4) (PDB:3IKB)","Replication, recombination and repair",NA,"plasmid2_sulf3"
"1310",92,"Transcriptional regulator, contains Arc/MetJ-type RHH (ribbon-helix-helix) DNA-binding domain (ParD) (PDB:3KXE)","Transcription",NA,"plasmid2_sulf3"
"1311",93,"Acetyl xylan esterase AxeA and related esterases, LpqC family (LpqC) (PDB:2D80) (PUBMED:9291122)","Carbohydrate transport and metabolism",NA,"plasmid2_sulf3"
"1312",94,"Predicted choloylglycine hydrolase","General function prediction only",NA,"plasmid2_sulf3"
"1313",95,"DNA-binding response regulator, NarL/FixJ family, contains REC and HTH domains (CitB) (PDB:1A04)","Signal transduction mechanisms!!!Transcription",NA,"plasmid2_sulf3"
"1314",96,"Signal transduction histidine kinase ComP (ComP) (PDB:4GT8)","Signal transduction mechanisms",NA,"plasmid2_sulf3"
"1315",99,"DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA (AcrR) (PDB:2QOP)","Transcription",NA,"plasmid2_sulf3"
"1316",101,"Enoyl-CoA hydratase/carnithine racemase (CaiD) (PDB:1DCI)","Lipid transport and metabolism","Fatty acid biosynthesis","plasmid2_sulf3"
"1317",102,"Predicted alpha/beta hydrolase","General function prediction only",NA,"plasmid2_sulf3"
"1318",103,"DNA-binding transcriptional regulator, MarR family (MarR) (PDB:1JGS)","Transcription",NA,"plasmid2_sulf3"
"1319",104,"FMN and 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YigB, HAD superfamily (riboflavin biosynthesis) (YigB) (PDB:4JB3) (PUBMED:24123841)","Coenzyme transport and metabolism",NA,"plasmid2_sulf3"
"1320",105,"DNA-binding transcriptional regulator, LacI/PurR family (PurR) (PDB:1BDH)","Transcription",NA,"plasmid2_sulf3"
"1321",106,"TRAP-type uncharacterized transport system, periplasmic component (Imp) (PDB:1US4)","General function prediction only",NA,"plasmid2_sulf3"
"1322",107,"TRAP-type uncharacterized transport system, fused permease components","General function prediction only",NA,"plasmid2_sulf3"
"1323",108,"2-keto-3-deoxy-L-rhamnonate aldolase RhmA (HpcH) (PDB:1DXE)","Carbohydrate transport and metabolism",NA,"plasmid2_sulf3"
"1324",109,"Histidinol dehydrogenase (HisD) (PDB:1K75)","Amino acid transport and metabolism","Histidine biosynthesis","plasmid2_sulf3"
"1325",110,"NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family (FabG) (PDB:6L1H)","Lipid transport and metabolism","Fatty acid biosynthesis","plasmid2_sulf3"
"1326",111,"Succinate dehydrogenase/fumarate reductase, flavoprotein subunit (SdhA) (PDB:1KF6)","Energy production and conversion","TCA cycle","plasmid2_sulf3"
"1327",112,"2-Methylisocitrate lyase and related enzymes, PEP mutase family (PrpB) (PDB:1XG3)","Carbohydrate transport and metabolism",NA,"plasmid2_sulf3"
"1328",113,"Nicotinamidase-related amidase (PncA) (PDB:1ILW)","Coenzyme transport and metabolism!!!General function prediction only","Pyrimidine degradation","plasmid2_sulf3"
"1329",114,"N-methylhydantoinase A/oxoprolinase/acetone carboxylase, beta subunit (HyuA)","Amino acid transport and metabolism!!!Secondary metabolites biosynthesis, transport and catabolism",NA,"plasmid2_sulf3"
"1330",115,"N-methylhydantoinase B/oxoprolinase/acetone carboxylase, alpha subunit (HyuB) (PDB:5L9W)","Amino acid transport and metabolism!!!Secondary metabolites biosynthesis, transport and catabolism",NA,"plasmid2_sulf3"
"1331",116,"Phenylpyruvate tautomerase PptA, 4-oxalocrotonate tautomerase family (PptA) (PDB:1BJP)","Secondary metabolites biosynthesis, transport and catabolism",NA,"plasmid2_sulf3"
"1332",117,"DNA-binding transcriptional regulator, GntR family (MngR) (PDB:2WV0)","Transcription",NA,"plasmid2_sulf3"
"1333",118,"Homoaconitase/3-isopropylmalate dehydratase large subunit (LeuC) (PDB:4KP1)","Amino acid transport and metabolism","Isoleucine, leucine, valine biosynthesis","plasmid2_sulf3"
"1334",119,"3-isopropylmalate dehydratase small subunit (LeuD) (PDB:3Q3W)","Amino acid transport and metabolism","Isoleucine, leucine, valine biosynthesis","plasmid2_sulf3"
"1335",120,"TRAP-type C4-dicarboxylate transport system, periplasmic component (DctP) (PDB:2CEX)","Carbohydrate transport and metabolism",NA,"plasmid2_sulf3"
"1336",121,"TRAP-type C4-dicarboxylate transport system, small permease component YiaM (DctM)","Carbohydrate transport and metabolism",NA,"plasmid2_sulf3"
"1337",122,"TRAP-type mannitol/chloroaromatic compound transport system, large permease component (FcbT3)","Secondary metabolites biosynthesis, transport and catabolism",NA,"plasmid2_sulf3"
"1338",123,"DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA (AcrR) (PDB:2QOP)","Transcription",NA,"plasmid2_sulf3"
"1339",124,"Multidrug efflux pump subunit AcrA (membrane-fusion protein) (AcrA) (PDB:1T5E)","Cell wall/membrane/envelope biogenesis!!!Defense mechanisms",NA,"plasmid2_sulf3"
"1340",125,"Multidrug efflux pump subunit AcrB (AcrB) (PDB:1IWG)","Defense mechanisms",NA,"plasmid2_sulf3"
"1341",129,"Type II secretory pathway, component PulK (PulK) (PDB:5VTM)","Intracellular trafficking, secretion, and vesicular transport",NA,"plasmid2_sulf3"
"1342",130,"Type II secretory pathway, PulJ/GspJ component (PulJ)","Intracellular trafficking, secretion, and vesicular transport",NA,"plasmid2_sulf3"
"1343",131,"ABC-type branched-chain amino acid transport system, periplasmic component (LivK) (PDB:1USG)","Amino acid transport and metabolism",NA,"plasmid2_sulf3"
"1344",133,"Type II secretory pathway, component PulF (PulF) (PDB:2VMA)","Cell motility!!!Intracellular trafficking, secretion, and vesicular transport!!!Extracellular structures",NA,"plasmid2_sulf3"
"1345",134,"Type II secretory pathway ATPase GspE/PulE or T4P pilus assembly pathway ATPase PilB (PulE) (PDB:4KSR)","Cell motility!!!Intracellular trafficking, secretion, and vesicular transport!!!Extracellular structures",NA,"plasmid2_sulf3"
"1346",135,"Type II secretory pathway, component PulM (PulM) (PDB:1UV7)","Intracellular trafficking, secretion, and vesicular transport",NA,"plasmid2_sulf3"
"1347",136,"Type II secretory pathway, component PulL (PulL) (PDB:2W7V) (PUBMED:11679764)","Intracellular trafficking, secretion, and vesicular transport",NA,"plasmid2_sulf3"
"1348",137,"Type II secretory pathway, pseudopilin PulG (PulG) (PDB:1AY2)","Cell motility!!!Intracellular trafficking, secretion, and vesicular transport!!!Extracellular structures",NA,"plasmid2_sulf3"
"1349",138,"Type IV pilus assembly protein FimT (FimT) (PUBMED:17322192;28771515)","Cell motility!!!Extracellular structures",NA,"plasmid2_sulf3"
"1350",139,"Type II secretory pathway, pseudopilin PulG (PulG) (PDB:1AY2)","Cell motility!!!Intracellular trafficking, secretion, and vesicular transport!!!Extracellular structures",NA,"plasmid2_sulf3"
"1351",140,"Type II secretory pathway, component PulC (PulC) (PDB:2LNV)","Intracellular trafficking, secretion, and vesicular transport",NA,"plasmid2_sulf3"
"1352",141,"Type II secretory pathway component GspD/PulD (secretin) (PulD) (PDB:5TCQ)","Intracellular trafficking, secretion, and vesicular transport",NA,"plasmid2_sulf3"
"1353",142,"Transposase (or an inactivated derivative), DDE domain (Rve)","Mobilome: prophages, transposons",NA,"plasmid2_sulf3"
"1354",143,"TRAP-type uncharacterized transport system, fused permease components","General function prediction only",NA,"plasmid2_sulf3"
"1355",145,"DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)","Transcription",NA,"plasmid2_sulf3"
"1356",146,"Redox-sensitive bicupin YhaK, pirin superfamily (YhaK) (PDB:1J1L) (PUBMED:18561187)","General function prediction only",NA,"plasmid2_sulf3"
"1357",147,"NADH dehydrogenase, FAD-containing subunit (Ndh) (PDB:5NA4)","Energy production and conversion",NA,"plasmid2_sulf3"
"1358",149,"Transposase","Mobilome: prophages, transposons",NA,"plasmid2_sulf3"
"1359",150,"Transposase","Mobilome: prophages, transposons",NA,"plasmid2_sulf3"
"1360",151,"DNA replication protein DnaC (DnaC) (PDB:2QGZ)","Replication, recombination and repair",NA,"plasmid2_sulf3"
"1361",153,"Transposase and inactivated derivatives, IS30 family (Tra8)","Mobilome: prophages, transposons",NA,"plasmid2_sulf3"
"1362",154,"Transposase and inactivated derivatives, IS30 family (Tra8)","Mobilome: prophages, transposons",NA,"plasmid2_sulf3"
"1363",158,"Predicted dienelactone hydrolase","General function prediction only",NA,"plasmid2_sulf3"
"1364",159,"Short-chain dehydrogenase (YqjQ)","General function prediction only",NA,"plasmid2_sulf3"
"1365",160,"AraC-type DNA-binding domain and AraC-containing proteins (AraC) (PDB:1BL0)","Transcription",NA,"plasmid2_sulf3"
"1366",161,"Beta-lactamase class A (PenP) (PDB:6W34)","Defense mechanisms",NA,"plasmid2_sulf3"
"1367",162,"DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)","Transcription",NA,"plasmid2_sulf3"
"1368",163,"Enamine deaminase RidA, house cleaning of reactive enamine intermediates, YjgF/YER057c/UK114 family (RidA) (PDB:1J7H) (PUBMED:22094463;32205462)","Defense mechanisms","Pyrimidine degradation","plasmid2_sulf3"
"1369",164,"Uncharacterized conserved protein, DUF2384 family","Function unknown",NA,"plasmid2_sulf3"
"1370",165,"Uncharacterized protein, contains RES domain (RES)","Function unknown",NA,"plasmid2_sulf3"
"1371",166,"Transposase InsO and inactivated derivatives (Tra5)","Mobilome: prophages, transposons",NA,"plasmid2_sulf3"
"1372",167,"Transposase InsO and inactivated derivatives (Tra5)","Mobilome: prophages, transposons",NA,"plasmid2_sulf3"
"1373",168,"Ornithine cyclodeaminase/archaeal alanine dehydrogenase, mu-crystallin family (OCDMu) (PDB:2I99)","Amino acid transport and metabolism","Proline biosynthesis","plasmid2_sulf3"
"1374",169,"Permease of the drug/metabolite transporter (DMT) superfamily (RhaT) (PDB:5I20)","Carbohydrate transport and metabolism!!!Amino acid transport and metabolism!!!General function prediction only",NA,"plasmid2_sulf3"
"1375",170,"Nicotinamidase-related amidase (PncA) (PDB:1ILW)","Coenzyme transport and metabolism!!!General function prediction only","Pyrimidine degradation","plasmid2_sulf3"
"1376",171,"ABC-type arginine/histidine transport system, permease component (ArtM)","Amino acid transport and metabolism",NA,"plasmid2_sulf3"
"1377",172,"ABC-type arginine transport system, permease component (ArtQ)","Amino acid transport and metabolism",NA,"plasmid2_sulf3"
"1378",173,"ABC-type amino acid transport/signal transduction system, periplasmic component/domain (HisJ) (PDB:1GGG)","Amino acid transport and metabolism!!!Signal transduction mechanisms",NA,"plasmid2_sulf3"
"1379",174,"ABC-type histidine transport system, ATPase component (HisP) (PDB:1B0U)","Amino acid transport and metabolism",NA,"plasmid2_sulf3"
"1380",175,"DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)","Transcription",NA,"plasmid2_sulf3"
"1381",176,"Acetyl esterase/lipase (Aes) (PDB:1EVQ)","Lipid transport and metabolism",NA,"plasmid2_sulf3"
"1382",177,"Short-chain dehydrogenase (YqjQ)","General function prediction only",NA,"plasmid2_sulf3"
"1383",178,"Ketosteroid isomerase-related protein (YesE) (PDB:1Z1S)","General function prediction only",NA,"plasmid2_sulf3"
"1384",179,"Uncharacterized conserved protein YbjT, contains NAD(P)-binding and DUF2867 domains (YbjT) (PDB:5L3Z)","General function prediction only",NA,"plasmid2_sulf3"
"1385",180,"Short-chain dehydrogenase (YqjQ)","General function prediction only",NA,"plasmid2_sulf3"
"1386",181,"Dienelactone hydrolase (DLH) (PDB:4ZV9)","Secondary metabolites biosynthesis, transport and catabolism",NA,"plasmid2_sulf3"
"1387",182,"DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA (AcrR) (PDB:2QOP)","Transcription",NA,"plasmid2_sulf3"
"1388",183,"DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)","Transcription",NA,"plasmid2_sulf3"
"1389",185,"TRAP-type C4-dicarboxylate transport system, periplasmic component (DctP) (PDB:2CEX)","Carbohydrate transport and metabolism",NA,"plasmid2_sulf3"
"1390",186,"TRAP-type C4-dicarboxylate transport system, small permease component YiaM (DctM)","Carbohydrate transport and metabolism",NA,"plasmid2_sulf3"
"1391",187,"TRAP-type C4-dicarboxylate transport system, large permease component (DctQ)","Carbohydrate transport and metabolism",NA,"plasmid2_sulf3"
"1392",188,"Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit or related amidase (GatA) (PDB:3H0L)","Translation, ribosomal structure and biogenesis","Aminoacyl-tRNA synthetases","plasmid2_sulf3"
"1393",189,"Sugar lactone lactonase YvrE (YvrE) (PDB:1E1A)","Carbohydrate transport and metabolism","Non-phosphorylated Entner-Doudoroff pathway","plasmid2_sulf3"
"1394",190,"Flavodoxin/ferredoxin--NADP reductase (Fpr) (PDB:3OZU)","Energy production and conversion",NA,"plasmid2_sulf3"
"1395",191,"Glutathione S-transferase (GstA) (PDB:1A0F)","Posttranslational modification, protein turnover, chaperones",NA,"plasmid2_sulf3"
"1396",192,"DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)","Transcription",NA,"plasmid2_sulf3"
"1397",193,"DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)","Transcription",NA,"plasmid2_sulf3"
"1398",194,"Ketosteroid isomerase homolog YybH (YybH) (PDB:2GXF)","General function prediction only",NA,"plasmid2_sulf3"
"1399",195,"Uncharacterized conserved protein, DUF4440 domain (PDB:1TP6)","Function unknown",NA,"plasmid2_sulf3"
"1400",196,"Ketosteroid isomerase homolog YybH (YybH) (PDB:2GXF)","General function prediction only",NA,"plasmid2_sulf3"
"1401",198,"Bifunctional DNA-binding transcriptional regulator of stationary/sporulation/toxin gene expression and antitoxin component of the YhaV-PrlF toxin-antitoxin module (AbrB) (PDB:2RO5)","Transcription!!!Defense mechanisms",NA,"plasmid2_sulf3"
"1402",199,"TRAP-type uncharacterized transport system, fused permease components","General function prediction only",NA,"plasmid2_sulf3"
"1403",200,"Anti-sigma factor ChrR, cupin superfamily (ChrR) (PDB:2Q1Z)","Signal transduction mechanisms",NA,"plasmid2_sulf3"
"1404",201,"Nicotinamidase-related amidase (PncA) (PDB:1ILW)","Coenzyme transport and metabolism!!!General function prediction only","Pyrimidine degradation","plasmid2_sulf3"
"1405",202,"ABC-type guanosine uptake system NupNOPQ, ATPase component NupO (NupO) (PUBMED:21926227)","Nucleotide transport and metabolism",NA,"plasmid2_sulf3"
"1406",203,"Nicotinamidase-related amidase (PncA) (PDB:1ILW)","Coenzyme transport and metabolism!!!General function prediction only","Pyrimidine degradation","plasmid2_sulf3"
"1407",204,"Omega-amidase YafV/Nit2, hydrolyzes alpha-ketoglutaramate (Nit2) (PUBMED:28373563)","Energy production and conversion",NA,"plasmid2_sulf3"
"1408",205,"ABC-type guanosine uptake system NupNOPQ, permease subunit NupQ (NupQ) (PUBMED:21926227)","Nucleotide transport and metabolism",NA,"plasmid2_sulf3"
"1409",206,"ABC-type guanosine uptake system NupNOPQ, permease component NupP (NupP) (PUBMED:21926227)","Nucleotide transport and metabolism",NA,"plasmid2_sulf3"
"1410",207,"Lipoprotein Med, regulator of KinD/Spo0A, PBP1-ABC superfamily, includes NupN (Med) (PDB:2FQW) (PUBMED:21622736)","Signal transduction mechanisms",NA,"plasmid2_sulf3"
"1411",208,"DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)","Transcription",NA,"plasmid2_sulf3"
"1412",209,"Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit or related amidase (GatA) (PDB:3H0L)","Translation, ribosomal structure and biogenesis","Aminoacyl-tRNA synthetases","plasmid2_sulf3"
"1413",212,"Magnetosome formation protein MamQ, lipoprotein antigen LemA family (LemA) (PDB:2ETD) (PUBMED:14638756;20212111;26884433)","Cell wall/membrane/envelope biogenesis",NA,"plasmid2_sulf3"
"1414",213,"Uncharacterized membrane protein","Function unknown",NA,"plasmid2_sulf3"
"1415",214,"Acyl-CoA dehydrogenase related to the alkylation response protein AidB (CaiA) (PDB:1BUC)","Lipid transport and metabolism","Fatty acid biosynthesis","plasmid2_sulf3"
"1416",216,"NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family (FabG) (PDB:6L1H)","Lipid transport and metabolism","Fatty acid biosynthesis","plasmid2_sulf3"
"1417",217,"Predicted  kinase, aminoglycoside phosphotransferase (APT) family (YcbJ)","General function prediction only",NA,"plasmid2_sulf3"
"1418",218,"DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA (AcrR) (PDB:2QOP)","Transcription",NA,"plasmid2_sulf3"
"1419",219,"Predicted  kinase, aminoglycoside phosphotransferase (APT) family (YcbJ)","General function prediction only",NA,"plasmid2_sulf3"
"1420",220,"NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family (FabG) (PDB:6L1H)","Lipid transport and metabolism","Fatty acid biosynthesis","plasmid2_sulf3"
